url,Coaches,team
http://www.espn.com/nfl/coaches/_/id,1,Arizona Cardinals
http://www.espn.com/nfl/coaches/_/id,2,Atlanta Falcons
http://www.espn.com/nfl/coaches/_/id,3,Baltimore Ravens
http://www.espn.com/nfl/coaches/_/id,4,Buffalo Bills
http://www.espn.com/nfl/coaches/_/id,5,Carolina Panthers
http://www.espn.com/nfl/coaches/_/id,6,Chicago Bears
http://www.espn.com/nfl/coaches/_/id,7,Cincinnati Bengals
http://www.espn.com/nfl/coaches/_/id,8,Cleveland Browns
http://www.espn.com/nfl/coaches/_/id,9,Dallas Cowboys
http://www.espn.com/nfl/coaches/_/id,10,Denver Broncos
http://www.espn.com/nfl/coaches/_/id,11,Detroit Lions
http://www.espn.com/nfl/coaches/_/id,12,Green Bay Packers
http://www.espn.com/nfl/coaches/_/id,13,Houston Texans
http://www.espn.com/nfl/coaches/_/id,14,Indianapolis Colts
http://www.espn.com/nfl/coaches/_/id,15,Jacksonville Jaguars
http://www.espn.com/nfl/coaches/_/id,16,Kansas City Chiefs
http://www.espn.com/nfl/coaches/_/id,17,Los Angeles Rams
http://www.espn.com/nfl/coaches/_/id,18,Miami Dolphins
http://www.espn.com/nfl/coaches/_/id,19,Minnesota Vikings
http://www.espn.com/nfl/coaches/_/id,20,New England Patriots
http://www.espn.com/nfl/coaches/_/id,21,New Orleans Saints
http://www.espn.com/nfl/coaches/_/id,22,New York Giants
http://www.espn.com/nfl/coaches/_/id,23,New York Jets
http://www.espn.com/nfl/coaches/_/id,24,Oakland Raiders
http://www.espn.com/nfl/coaches/_/id,25,Philadelphia Eagles
http://www.espn.com/nfl/coaches/_/id,26,Pittsburgh Steelers
http://www.espn.com/nfl/coaches/_/id,27,San Diego Chargers
http://www.espn.com/nfl/coaches/_/id,28,San Francisco 49ers
http://www.espn.com/nfl/coaches/_/id,29,Seattle Seahawks
http://www.espn.com/nfl/coaches/_/id,30,Tampa Bay Buccaneers
http://www.espn.com/nfl/coaches/_/id,31,Tennessee Titans
http://www.espn.com/nfl/coaches/_/id,32,Washington Redskins